Location,Country,Year,Population,Group,Source,Area_km
Malindi,Kenya,1969,10757,Mombasa,citypopulation.de,
Malindi,Kenya,1979,23275,Mombasa,citypopulation.de,
Malindi,Kenya,1989,34047,Mombasa,citypopulation.de,
Malindi,Kenya,1999,53805,Mombasa,citypopulation.de,
Malindi,Kenya,2009,82747,Mombasa,citypopulation.de,
Malindi,Kenya,2019,119859,Mombasa,citypopulation.de,65.7
Kilifi,Kenya,1969,2662,Mombasa,citypopulation.de,
Kilifi,Kenya,1979,NA,Mombasa,citypopulation.de,
Kilifi,Kenya,1989,14145,Mombasa,citypopulation.de,
Kilifi,Kenya,1999,30394,Mombasa,citypopulation.de,
Kilifi,Kenya,2009,43388,Mombasa,citypopulation.de,
Kilifi,Kenya,2019,74270,Mombasa,citypopulation.de,83.5
Ukunda,Kenya,1969,NA,Mombasa,citypopulation.de,
Ukunda,Kenya,1979,NA,Mombasa,citypopulation.de,
Ukunda,Kenya,1989,NA,Mombasa,citypopulation.de,
Ukunda,Kenya,1999,43946,Mombasa,citypopulation.de,
Ukunda,Kenya,2009,60489,Mombasa,citypopulation.de,
Ukunda,Kenya,2019,77686,Mombasa,citypopulation.de,70.8
